ipc_class_level	ancestor	parent	ipc_version
A01C  15/12	A01C15/00	A	2017.01
A01C  15/14	A01C15/00	A	2017.01
A01C  15/16	A01C15/00	A	2017.01
A01C  15/18	A01C15/00	A	2017.01
A01C  17/00	A01C	A	2017.01
A01C  19/00	A01C	A	2017.01
A01C  19/02	A01C19/00	A	2017.01
A01C  19/04	A01C19/00	A	2017.01
A01C  21/00	A01C	A	2017.01
A01C  23/00	A01C	A	2017.01
A01C  23/02	A01C23/00	A	2017.01
A01C  23/04	A01C23/00	A	2017.01
A01D	A01D	A	2017.01
A01D   1/00	A01D	A	2017.01
A01D   1/02	A01D1/00	A	2017.01
A01D   1/04	A01D1/00	A	2017.01
A01D   1/06	A01D1/00	A	2017.01
A01D   1/08	A01D1/00	A	2017.01
A01D   1/10	A01D1/08	A	2017.01
A01D   1/12	A01D1/08	A	2017.01
A01D   1/14	A01D1/00	A	2017.01
A01D   3/00	A01D	A	2017.01
A01D   3/02	A01D3/00	A	2017.01
A01D   3/04	A01D3/00	A	2017.01
A01D   3/06	A01D3/00	A	2017.01
A01D   3/08	A01D3/00	A	2017.01
A01D   5/00	A01D	A	2017.01
A01D   7/00	A01D	A	2017.01
A01D   7/02	A01D7/00	A	2017.01
A01D   7/04	A01D7/00	A	2017.01
A01D   7/06	A01D7/00	A	2017.01
A01D   7/08	A01D7/00	A	2017.01
A01D   7/10	A01D7/00	A	2017.01
A01D   9/00	A01D	A	2017.01
A01D   9/02	A01D9/00	A	2017.01
A01D   9/04	A01D9/00	A	2017.01
A01D   9/06	A01D9/00	A	2017.01
A01D  11/00	A01D	A	2017.01
A01D  11/02	A01D11/00	A	2017.01
A01D  11/04	A01D11/00	A	2017.01
A01D  11/06	A01D11/00	A	2017.01
A01D  13/00	A01D	A	2017.01
A01D  15/00	A01D	A	2017.01
A01D  15/02	A01D15/00	A	2017.01
A01D  15/04	A01D15/00	A	2017.01
A01D  17/00	A01D	A	2017.01
A01D  17/02	A01D17/00	A	2017.01
A01D  17/04	A01D17/00	A	2017.01
A01D  17/06	A01D17/00	A	2017.01
A01D  17/08	A01D17/00	A	2017.01
A01D  17/10	A01D17/00	A	2017.01
A01D  17/12	A01D17/00	A	2017.01
A01D  17/14	A01D17/00	A	2017.01
A01D  17/16	A01D17/14	A	2017.01
A01D  17/18	A01D17/14	A	2017.01
A01D  17/20	A01D17/14	A	2017.01
A01D  17/22	A01D17/14	A	2017.01
A01D  19/00	A01D	A	2017.01
A01D  19/02	A01D19/00	A	2017.01
A01D  19/04	A01D19/00	A	2017.01
A01D  19/06	A01D19/04	A	2017.01
A01D  19/08	A01D19/04	A	2017.01
A01D  19/10	A01D19/04	A	2017.01
A01D  19/12	A01D19/00	A	2017.01
A01D  19/14	A01D19/12	A	2017.01
A01D  19/16	A01D19/12	A	2017.01
A01D  19/18	A01D19/12	A	2017.01
A01D  21/00	A01D	A	2017.01
A01D  21/02	A01D21/00	A	2017.01
A01D  21/04	A01D21/00	A	2017.01
A01D  23/00	A01D	A	2017.01
A01D  23/02	A01D23/00	A	2017.01
A01D  23/04	A01D23/00	A	2017.01
A01D  23/06	A01D23/00	A	2017.01
A01D  25/00	A01D	A	2017.01
A01D  25/02	A01D25/00	A	2017.01
A01D  25/04	A01D25/00	A	2017.01
A01D  27/00	A01D	A	2017.01
A01D  27/02	A01D27/00	A	2017.01
A01D  27/04	A01D27/00	A	2017.01
A01D  29/00	A01D	A	2017.01
A01D  31/00	A01D	A	2017.01
A01D  31/02	A01D31/00	A	2017.01
A01D  33/00	A01D	A	2017.01
A01D  33/02	A01D33/00	A	2017.01
A01D  33/04	A01D33/00	A	2017.01
A01D  33/06	A01D33/00	A	2017.01
A01D  33/08	A01D33/00	A	2017.01
A01D  33/10	A01D33/00	A	2017.01
A01D  33/12	A01D33/00	A	2017.01
