ipc_code	ancestor	parent	ipc_version
A01F  12/14	A01F0012100000	A	2016.01
A01F  12/16	A01F0012100000	A	2016.01
A01F  12/18	A01F0012000000	A	2016.01
A01F  12/20	A01F0012180000	A	2016.01
A01F  12/22	A01F0012180000	A	2016.01
A01F  12/24	A01F0012180000	A	2016.01
A01F  12/26	A01F0012180000	A	2016.01
A01F  12/28	A01F0012180000	A	2016.01
A01F  12/30	A01F0012000000	A	2016.01
A01F  12/32	A01F0012300000	A	2016.01
A01F  12/34	A01F0012320000	A	2016.01
A01F  12/36	A01F0012340000	A	2016.01
A01F  12/38	A01F0012300000	A	2016.01
A01F  12/385	A01F0012300000	A	2016.01
A01F  12/39	A01F0012300000	A	2016.01
A01F  12/395	A01F0012300000	A	2016.01
A01F  12/40	A01F0012000000	A	2016.01
A01F  12/42	A01F0012000000	A	2016.01
A01F  12/44	A01F0012000000	A	2016.01
A01F  12/46	A01F0012000000	A	2016.01
A01F  12/48	A01F0012000000	A	2016.01
A01F  12/50	A01F0012000000	A	2016.01
A01F  12/52	A01F0012000000	A	2016.01
